code,cat,Dimension,Indicator,Measure,Year
IW_HADI,average,Income and wealth,Net household adjusted disposable income,USD at current PPPs, per capita,2014
IW_HNFW,average,Income and wealth,Household net wealth,USD at current PPPs, per capita,2010 or latest available year 
JE_EMPL,average,Jobs and earnings,Employment rate,Employed aged 15-64, as a percentage of the population aged 15-64,2015
JE_PE,average,Jobs and earnings,Average annual gross earnings per full-time employee,USD at current PPPs,2014
JE_LTUR,average,Jobs and earnings,Long-term unemployment rate*,Percentage of the labour force unemployed for one year or more,2015 or latest available year
HO_NUMR,average,Housing ,Rooms per person,Average number of rooms per person (excluding bathroom, toilet, kitchenette, scullery/utility rooms and garages),2015 or latest available year
HO_EXP,average,Housing ,Housing expenditure,Percentage of household gross adjusted disposable income spent on housing and house maintenance,2015 or latest available year
WL_EWLH,average,Work-life balance,Employees working very long hours,Percentage of employees routinely working 50 hours or more per week,2014
WL_LEPC,average,Work-life balance,Time devoted to leisure and personal care,Hours per day, persons in full-time employment only,Latest available year
HS_LEB,average,Health status,Life expectancy at birth*,Number of years a newborn can expect to live,2014 or latest available year
HS_SFRH,average,Health status,Perceived health status,Percentage of adults reporting that their health is "good" or better than good,2014 or latest available year
ES_EDUA,average,Education and skills,Educational attainment of the adult working-aged population,Percentage of people aged 25-64 with at least an upper secondary education,2015 or latest available year
ES_ADCO,average,Education and skills,Adult competencies (PIAAC),The OECD Programme for the International Assesment of Adult Competencies (PIAAC) mean proficiency scores on literacy and numeracy,2011-2015
ES_STCS,average,Education and skills,Cognitive skills of 15 year old students,The OECD Programme on International Students Assesment (PISA) mean score for reading, mathematics and science,2015
SC_SNTWS,average,Social connections,Perceived social network support,Percentage of people who have friends or relatives that they can count on in times of trouble,2014-16 average
CG_SAYG,average,Civic engagement and governance,Having a say on what the government does,Percentage of people who strongly disagrees or disagrees with the assessment that they don't have a say on what the government does,2011-2015
CG_VOTO,average,Civic engagement and governance,Voter turnout,Percentage of votes cast among the population registered to vote,2016 or latest available year
EQ_SATW,average,Environmental quality,Satisfaction with water quality,Percentage of satisfied people in the overall population,2014-16 average
EQ_AIRP,average,Environmental quality,Air pollution,Population-weighted annual concentration to PM2.5, micrograms per cubic metre,2013-15, 3-year moving average 
PS_HOMI,average,Personal security,Homicides rates,Age-standardised rate, per 100 000 population,2013 or latest available year
PS_SFRV,average,Personal security,Feeling safe walking alone at night,Percentage of people declaring that they feel safe walking alone at night in the city or area where they live,2014-16 average
SW_LIFS,average,Life Satisfaction,Life satisfaction,Mean values on a 0-10 scale,2013 or latest available year
IW_HADI_ver_ineq,vertical_ineq,Income and wealth,Household disposable income,S80/S20,
IW_HNFW_ver_ineq,vertical_ineq,Income and wealth,Household net wealth,Wealth share of top 10%,
JE_PE_ver_ineq,vertical_ineq,Jobs and earnings,Gross earnings,S80/S20,
HS_LEB_ver_ineq,vertical_ineq,Health status,Mortality,Standard deviation in the age of death,
WL_EWLH_ver_ineq,vertical_ineq,Work-life balance,Hours worked,S80/S20,
WL_LEPC_ver_ineq,vertical_ineq,Work-life balance,Time devoted to leisure and personal care,S80/S20,
ES_STCS_ver_ineq,vertical_ineq,Education and skills,Student skills,P90/P10 in PISA scores, average across all fields,
ES_ADCO_ver_ineq,vertical_ineq,Education and skills,Adult skills,P90/P10 in PIAAC scores, averaga across fields,
SC_TSOC_ver_ineq,vertical_ineq,Social connections,Time devoted to social activities,S80/S20,
CG_SAYG_ver_ineq,vertical_ineq,Civic engagement and governance,Political efficacy,S80/S20,
SW_LIFS_ver_ineq,vertical_ineq,Life Satisfaction,Life Satisfaction,S80/S20,
JE_PE_gender,h_gender_ineq,Jobs and earnings,Hourly earnings,Average gross earnings,
JE_PE_gender,h_gender_ineq,Jobs and earnings,Low pay,Share of full-time workers earning less than two-thirds of gross median earnings of all full-time workers (D),
JE_EMPL_gender,h_gender_ineq,Jobs and earnings,Employment,Employment rate,
JE_EMP_gender,h_gender_ineq,Jobs and earnings,Unemployment ,Unemployment rate (D),
